Noticias ,links
¡Por fin verá la luz! El túnel de La Línea empieza a funcionar este 4 de septiembre ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/economia/por-fin-vera-la-luz-el-tunel-de-la-linea-empieza-a-funcionar-este-4-de-septiembre
Acordeonero que le cantó a la pandemia y sobrevivió al COVID perdió la batalla contra otro enemigo,https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/acordeonero-que-le-canto-a-la-pandemia-y-sobrevivio-al-covid-perdio-la-batalla-contra-otro-enemigo
Bus del SITP repleto de pasajeros: una imagen que preocupa en Bogotá ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/el-periodista-soy-yo/bus-del-sitp-repleto-de-pasajeros-una-imagen-que-preocupa-en-bogota
Niegan insólita tutela a mujer que dice que el cartel de Medellín lo creó el “Clero Ruso Ortodoxo”,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/tutela-dice-que-el-cartel-de-medellin-lo-creo-el-clero-ruso-ortodoxo
La historia de una ‘bebé milagro’: su mamá murió tras ser arrollada por conductora ebria ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/bebe-milagro-su-mama-murio-tras-ser-arrollada-por-conductora-ebria
"""Derrotamos al gobierno"": se cayó el 'mico' de la ley de regalías que daba luz verde al fracking  ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/politica/derrotamos-al-gobierno-se-cayo-el-mico-de-la-ley-de-regalias-que-daba-luz-verde-al-fracking
El debut en el Tour de Francia todavía no le sonríe a Dayer Quintana: volvió a caerse en la etapa 6 ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/el-debut-en-el-tour-de-francia-todavia-no-le-sonrie-a-dayer-quintana-volvio-a-caerse-en-la-etapa-6
¿Por qué ningún ciclista se atreve a lanzar un ataque en la montaña del Tour de Francia? ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/ciclista-por-que-ningun-ciclista-se-atreve-a-lanzar-un-ataque-en-la-montana-del-tour-de-francia
Egan Bernal envió un mensaje tras la etapa 6 del Tour de Francia: “hay que tener paciencia”,https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/ciclismo-egan-bernal-envio-un-mensaje-tras-la-etapa-6-del-tour-de-francia-hay-que-tener-paciencia
"Canadá sugiere ""saltarse"" los besos y usar tapabocas durante el sexo en tiempo de coronavirus",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/canada-sugiere-saltarse-los-besos-y-usar-tapabocas-durante-el-sexo-en-tiempo-de-coronavirus
India superó sus propias cifras récord de contagios diarios con COVID-19 ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/india-supero-sus-propias-cifras-record-de-contagios-diarios-con-covid-19
Colombia hará estudio para medir el daño causado por el COVID-19 ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/colombia-hara-estudio-para-medir-el-dano-causado-por-el-covid-19
Vuelve la rumba y Cali lo sabe: así será ‘aguae'lulo’ que reactiva este sector en la ciudad ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/vuelve-la-rumba-y-cali-lo-sabe-asi-sera-aguaelulo-que-reactiva-este-sector-en-la-ciudad
El 93% de proyectos de vacunas no llegan a la fase III: Minsalud pide “optimismo moderado” ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/el-93-de-proyectos-de-vacunas-no-llegan-a-la-fase-iii-minsalud-pide-optimismo-moderado
La Roca reveló que él y su familia tuvieron coronavirus,https://noticias.caracoltv.com/https://noticias.caracoltv.com/entretenimiento/la-roca-revelo-que-el-y-su-familia-tuvieron-coronavirus
Vacuna contra COVID-19 no estaría antes del primer semestre de 2021: Minsalud,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/vacuna-contra-covid-19-no-estaria-antes-del-primer-semestre-de-2021-minsalud
“Mi bebé es muy pequeño y no le puedo faltar”: Danna García habla de la muerte tras el COVID-19,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/mi-bebe-es-muy-pequeno-y-no-le-puedo-faltar-danna-garcia-habla-de-la-muerte-tras-el-covid-19
"“Si lees esto, estoy muerto”: lo que escribió joven antes de ser alcanzado por un violador",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/si-lees-esto-estoy-muerto-lo-que-escribio-joven-antes-de-ser-alcanzado-por-un-violador
Ladrón huyó al ver que su cómplice fue herido de muerte por un escolta en el sur de Medellín,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/ladron-huyo-al-ver-que-su-complice-fue-herido-de-muerte-por-un-escolta-en-el-sur-de-medellin
Prepárese para ver más gente en el Metro: autorizaron ampliar su capacidad de ocupación,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/preparese-para-ver-mas-gente-en-el-metro-autorizaron-ampliar-su-capacidad-de-ocupacion
"Por una “afección respiratoria”, Clara Luz Roldán fue internada en una clínica de Cali",https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/por-una-afeccion-respiratoria-clara-luz-roldan-fue-internada-en-una-clinica-de-cali
Heroicos policías salvaron a mujer que estaba a punto de lanzarse desde un puente en Magdalena,https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/heroicos-policias-salvaron-a-mujer-que-estaba-a-punto-de-lanzarse-desde-un-puente-en-magdalena
Madre del delito: mujer que integraba banda criminal escondía las armas en el coche de su hijo ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/madre-del-delito-mujer-que-integraba-banda-criminal-escondia-las-armas-en-el-coche-de-su-hijo
Ciudadanos denuncian calvario para poder sacar sus vehículos de los patios en Medellín,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/ciudadanos-denuncian-calvario-para-poder-sacar-sus-vehiculos-de-los-patios-en-medellin
Niño de 12 años sufrió graves quemaduras tras la caída de un cable en Barranquilla ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/nino-de-12-anos-sufrio-graves-quemaduras-tras-la-caida-de-un-cable-en-barranquilla
Cárcel para una joven que asesinó a una mujer durante una riña entre pandillas ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/carcel-para-una-joven-que-asesino-a-una-mujer-durante-una-rina-entre-pandillas
Rescatan a trabajadores que habían caído a un abismo en el Túnel del Toyo,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/rescatan-a-trabajadores-que-habian-caido-a-un-abismo-en-el-tunel-del-toyo
